id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1MvLmHeLkaNgUScgbUVnWJ,Breathing,Malou,61,2019-11-22,0.598,0.561,11,-11.421,0,0.0229,0.557,0.109,0.0385,182.988,222606,3
08FKcAXOTGZUpddiYadWBn,Amaré,Berin,23,2023-01-20,0.769,0.913,4,-7.126,0,0.00436,0.917,0.0659,0.0956,122.012,240369,4
3GVcpgVWK1kz85sF1gGmhY,Hidden Ground,Bonfante,10,2022-02-25,0.721,0.714,4,-9.161,0,0.313,0.537,0.12,0.482,120.997,440617,4
5ozh0yNMGfYcDA7EUp94TO,Gork,Sven Dohse,10,2023-01-27,0.807,0.75,2,-10.797,1,0.042,0.871,0.0946,0.0394,120.006,450408,4
0fISUIxD3ZbawV34STdYAz,One Life - Arina Mur Remix,Arina Mur,17,2022-09-23,0.809,0.831,7,-8.201,1,0.00161,0.872,0.0329,0.699,122.002,377705,4
3a0agPVmZyN39DnjkKFoJa,Osama - Pete Tong & Paul Rogers Remix,Paul Rogers,34,2022-07-29,0.665,0.701,10,-11.401,0,0.0015,0.602,0.111,0.146,122.003,460405,4
39URqC0Wd7jE34dMeEKbCf,Miramar,Sean Ae,13,2022-08-05,0.623,0.673,6,-8.424,0,0.000454,0.748,0.0902,0.189,123.02,394146,4
0Z4Tr9BV7lO7xz5bPtF0Pd,Grey Skies - Pandhora Remix Edit,Pandhora,12,2020-10-30,0.629,0.777,10,-8.294,0,0.0222,0.528,0.0839,0.126,124.987,270300,4
6QuDP1bcBb3bBB6TO31YlT,Dreaming - Radio Edit,Jordan Arts,10,2022-10-07,0.737,0.537,6,-11.016,1,0.113,0.853,0.107,0.193,122.993,234621,4
4UFmK1Cvam4YaAoISiyUJG,Speed of Sound,Zazou,2,2022-05-20,0.65,0.764,7,-9.95,0,0.00248,0.865,0.0898,0.346,117.998,431420,4
2PBEbHEllyRBKcMzMgBLaV,Supermelodie,Amount,9,2022-12-02,0.806,0.894,0,-9.371,1,0.000697,0.851,0.0792,0.0373,121.988,429071,4
5fSf9E70jWJlBVAA2V1Z4o,Understand - Gorge Remix,Gorge,22,2020-01-03,0.806,0.805,9,-6.294,0,9.19e-05,0.902,0.118,0.175,123.013,437624,4
1wfB7VM8mtnDzcGJMln8Ls,Return to Oz (ARTBAT Remix) [Edit],ARTBAT,51,2019-08-09,0.622,0.908,2,-6.976,1,0.54,0.198,0.121,0.126,123.943,205161,4
5rztLKq9aH9YYNGhzZnKJx,Don't Look Back - Radio Edit,Jordan Arts,24,2022-11-18,0.656,0.734,5,-8.374,0,0.17,0.858,0.104,0.144,119.994,213521,4
0rjNavVdzcYTWnpfawIE5P,Inside My Brain,VAPA,18,2022-12-02,0.682,0.602,3,-9.867,0,0.0264,0.862,0.109,0.0463,122.014,244015,4
1i5XRu1L0x7gIg9UGKqizL,Consciousness - Eric Prydz Remix,Eric Prydz,58,2022-08-17,0.623,0.866,7,-7.145,1,0.0109,0.785,0.637,0.244,125.967,244130,4
6CGMZijOAZvTXG21T8t6R0,Innerbloom,RÜFÜS DU SOL,67,2016-01-22,0.729,0.72,3,-6.692,1,0.126,0.347,0.178,0.0389,122.011,578041,4
5mDg1y3JVDlXuK9mFRAO0j,Wild n Pretty - Original Mix,Lana Scolaro,20,2023-01-13,0.696,0.633,0,-10.757,1,0.0131,0.469,0.0687,0.0423,125.997,387136,4
39qlKq5jDUf6YXUfNAaVxH,Moments,Madraas,24,2022-02-15,0.642,0.723,7,-8.898,1,0.000376,0.799,0.51,0.0525,121.996,243515,4
64PCIUEfrGQR5jm6b2FQth,Mellow Fellow - Acid Pauli Remix,Acid Pauli,25,2023-01-27,0.761,0.603,4,-11.236,1,0.0283,0.828,0.0852,0.471,122.003,425275,4
6l4DAumg138A324aTQfXUi,Wildfire - Colyn Remix,Colyn,42,2022-08-12,0.798,0.601,6,-7.27,1,0.0373,0.852,0.0756,0.282,123.993,462978,4
3J2CI43xuteartKSori5aP,Tougher Times - Pandhora Sunrise Remix - Edit,Pandhora,11,2020-10-09,0.68,0.861,7,-7.702,1,0.00227,0.144,0.592,0.0398,117.988,305203,4
3nQPkePHredC24hsQBmlbj,Best of Me - Radio Edit,Sailor & I,9,2020-09-11,0.552,0.944,4,-7.918,0,0.00202,0.333,0.256,0.0384,124.97,229440,4
4vb1eb9zYkCqSRirs3ExBQ,Wake Me Up - Tale Of Us Remix,Tale Of Us,34,2020-05-29,0.732,0.825,10,-8.825,0,0.00235,0.758,0.0661,0.449,120.005,381738,4
523T2PYfBB4ZvXDvmY9cmC,"R U Scared, Pt. II",Tourkey & Selim,16,2022-10-20,0.777,0.668,4,-10.983,0,0.000125,0.812,0.106,0.0938,120.997,297521,4
27vp1FNWucgoR4WXrNhCmG,Hope,Fabian Kash,6,2020-09-11,0.808,0.783,6,-9.252,1,0.00795,0.892,0.133,0.635,120.003,264000,4
6GkJE6HAsdqgJaN9iabQ3A,All Day & All Night,Memo Plaka,14,2020-01-31,0.864,0.474,4,-10.594,0,0.131,0.892,0.122,0.425,123.012,482382,4
0RMQgXHIBTsAVcaS7qahLq,What To Do - &ME Remix,&ME,50,2018-10-26,0.904,0.727,7,-9.992,0,6.54e-05,0.86,0.0737,0.408,122.001,504590,4
6pDD0oCoMaANHWIGi3VQs3,Not Alone - Rïa Mehta Remix,Rïa Mehta,10,2022-12-16,0.602,0.735,9,-8.534,0,0.000165,0.795,0.281,0.249,125.008,376320,4
2FtvWpLqA99AyOo5MItemY,Follow Your Dreams,Tanya Andros,15,2022-10-14,0.666,0.771,7,-7.452,1,0.0257,0.813,0.121,0.107,121.997,389509,4
5VEfIRJvYv4PNoy1xkvkwd,Why's Your Love - Anatolian Sessions Remix,Anatolian Sessions,19,2020-10-30,0.782,0.584,0,-11.413,1,0.000745,0.873,0.116,0.32,122.0,505676,4
0VqAmuEvXWHVYlMuZxJY4z,h2o,Stereo Kulisse,27,2022-09-09,0.801,0.671,7,-11.152,1,0.0054,0.86,0.102,0.0338,124.997,361440,4
27OIvy3qgE96Fz8foBdLNl,Grey Skies,Oliver Wickham,8,2020-08-21,0.668,0.815,8,-9.03,0,0.0161,0.599,0.156,0.476,121.975,259672,4
4n5wWTTgnLtb8nVwPWVzgx,Dahlia,Hammer,39,2015-09-25,0.72,0.764,9,-7.475,0,0.00747,0.48,0.0934,0.346,122.999,470282,4
2aJDlirz6v2a4HREki98cP,Glue,Bicep,71,2017-09-01,0.853,0.798,4,-7.995,0,0.0158,0.948,0.0967,0.42,129.983,269150,4
2WoC4Uo4HrOg7ur0UK8XHZ,Never Gone - Piemont Remix,Piemont,6,2016-09-30,0.735,0.795,4,-9.013,1,0.000169,0.883,0.0327,0.321,123.006,390292,4
2BIe0r0ghtyoeinWcBgQky,When the Lights Are Out,Maceo Plex,32,2019-05-31,0.645,0.861,9,-11.057,0,0.0031,0.771,0.226,0.293,127.99,444151,4
686J1pIBZE2zsnvYc3N0RA,Sindesi,Epokhé,9,2022-08-31,0.622,0.611,10,-11.624,0,0.149,0.907,0.0684,0.0685,117.054,274500,4
3Wfs4ir7AMA9od6saZJsxV,Chroma,Gregor Klamra,6,2022-03-25,0.8,0.703,10,-9.955,0,0.117,0.891,0.0833,0.461,122.002,366840,4
70LhYkRsJ4vHpP4KP98F7h,Water Cave,Josefine Hellström Hansson,7,2015-03-13,0.624,0.705,9,-12.443,1,0.0392,0.708,0.0935,0.127,124.003,402762,4
7qfouhnDlP94CvlwYHPtdJ,Nam Myoho Renge Kyo - Pacco e Rudy B Remix,Fady Ferraye,4,2012-12-16,0.802,0.725,7,-9.389,1,0.0025,0.841,0.0378,0.382,126.007,554167,4
5CE1vE5jLstQ3shRFnGwS6,Lovestorm,Amount,6,2022-12-02,0.807,0.647,0,-7.632,0,0.12,0.882,0.0689,0.722,126.008,365594,4
1QrxggFof36TcpeREbDAXI,Stone Flower - Original,Namito,32,2019-05-27,0.751,0.621,7,-9.689,1,0.000334,0.608,0.116,0.148,113.997,468816,4
3N6bayIOZpdhUElG1R7TPD,U Remind Me - Radio Edit,Weekend Heroes,4,2023-01-20,0.768,0.908,7,-6.202,1,0.000332,0.676,0.114,0.224,120.005,236000,4
6xj48rju1by58hG6qiLjTw,Overcome,Wassu,0,2020-04-03,0.761,0.773,7,-8.465,1,0.0037,0.874,0.0571,0.0919,121.008,343000,4
3purp0mi18IzqJHsVNteqU,Teenage Crime - Francis Mercier Edit,Darla Jade,43,2022-02-25,0.658,0.933,10,-7.584,0,0.0112,0.538,0.125,0.119,120.03,204500,4
2kkjKPPIrL1CLyaSlHUxqm,Timeless,Marat Mode,9,2020-04-06,0.781,0.556,8,-9.499,0,0.156,0.231,0.11,0.466,117.989,236066,4
0gWvdvWZCvyp06xczy4fex,Next To Me - Boeoes Kaelstigen Remix,Boeoes Kaelstigen,18,2015-11-27,0.657,0.802,6,-7.969,1,0.0166,0.59,0.205,0.578,108.956,246000,4
3jLcuDRpkuJFPwTKQ7YYQ3,Earth Awakening,Stephane Salerno,3,2020-05-22,0.77,0.648,7,-9.629,1,0.097,0.596,0.164,0.386,101.994,404412,4
3kiP7F0evgn8NkGKdNxV6I,Love Is in the Air - Vincenzo Remix,Vincenzo,6,2017-11-24,0.791,0.698,11,-12.946,0,0.0512,0.792,0.0649,0.479,116.0,486319,4
1ZVJSy84kTuvXOsxArecQc,Sunbeam - Mentat Breaks Remix,Mentat,3,2021-04-30,0.752,0.952,0,-7.069,1,0.00477,0.858,0.133,0.248,124.003,409482,4
52KCmXTcAK15ysnOgtWi86,Fatoumata,Volen Sentir,0,2019-04-04,0.81,0.756,7,-8.896,1,0.00216,0.736,0.094,0.763,121.009,503802,4
4W3WsILUuSjBzQeXC9RntM,Viisns - Urmet K Remix,Urmet K,3,2020-06-01,0.856,0.559,4,-9.946,1,0.00308,0.837,0.0827,0.614,120.008,398000,4
6FUqyOsq1e0VP7CEPtn7uN,Vor Augen - Chicola Mamba Out Remix,Chicola,5,2020-08-31,0.737,0.762,4,-10.995,0,0.00207,0.86,0.0691,0.533,122.997,486681,4
6MdquCVCI0a0Fqfr1Effkx,Tacoma - Gone Remix,GONE,27,2022-04-06,0.55,0.935,9,-10.39,1,0.58,0.899,0.115,0.208,125.982,259524,3
2bK6osWjzw92moaSVeS3AR,Shaanti - Aurelius Zon Remix,Aurelius Zon,0,2020-05-07,0.606,0.804,6,-10.62,0,0.000759,0.864,0.115,0.0656,123.022,379452,4
3VRlmICKqjM5TPm4XCBuDg,Marea - Urmet K Remix,Urmet K,3,2021-03-12,0.772,0.778,4,-10.534,0,0.00148,0.825,0.0607,0.133,121.016,414500,4
0CtgPK2i6oFDLoio0gOX8f,Elevate,Elias Doré,10,2019-05-24,0.816,0.58,9,-13.043,0,0.152,0.83,0.0782,0.192,120.005,391616,4
0zqsWIz1egLT8S7lAgivrY,The Worship,Diana Miro,28,2020-05-08,0.784,0.555,1,-11.729,0,0.011,0.0557,0.111,0.363,121.983,216619,4
5ebmgjX1AIlMPXmAvmxfoH,Spicy (feat. Ginger) - Edit,Ginger,55,2021-04-02,0.711,0.472,7,-10.52,0,0.000243,0.827,0.0838,0.142,125.013,211200,4
2255AAh32aFZQKCzVxMm1F,After Look,Joe Di Bianco,2,2020-09-16,0.812,0.576,4,-13.364,0,0.00186,0.932,0.0732,0.0395,120.993,479154,4
4BsGP1jcNedmNOcIxft8EY,Peace to Ukraine,Bukhu,27,2022-10-17,0.463,0.851,7,-7.086,1,0.00089,0.828,0.593,0.0663,117.998,259936,4
5K2xd60nKoeJWl9pNra12C,Tense - EMPHI Remix,EMPHI,3,2020-05-08,0.77,0.783,0,-9.69,0,0.0666,0.821,0.314,0.11,120.007,453000,4
0ToZBQHN6wSsJLN8GMRjSX,Spiritualistic Session,St. Savor,0,2017-10-16,0.676,0.401,7,-17.939,0,0.000191,0.819,0.105,0.29,117.99,375254,4
53zokuN0GHq2ULyDB8Ogdl,Vemode,MOLØ,17,2021-10-01,0.612,0.717,11,-10.667,1,0.238,0.908,0.0843,0.0931,121.019,253884,4
7nIzcRyBg2dXBORQJf8G9e,Into Your Head - Marius Drescher Remix,Marius Drescher,0,2020-04-03,0.684,0.749,11,-8.463,0,0.0266,0.838,0.188,0.249,123.012,224390,4
6o6LRX4HHHGKgH7NuMxw6u,Parallaxis - Traumprinz's Over 2 The End Version,Traumprinz,33,2014-11-17,0.688,0.496,7,-15.994,1,0.0764,0.894,0.117,0.203,122.971,406000,4
4bGh9ITVoiSTrtLg0h1PQo,Limba,Seth Schwarz,27,2020-10-09,0.703,0.732,1,-10.206,1,0.000955,0.845,0.234,0.183,123.989,472379,3
1NEjczRZf5jj5pg35SrzL4,Grey Skies - ASHE Remix,Oliver Wickham,15,2021-01-29,0.715,0.674,11,-12.488,1,0.0112,0.58,0.038,0.0884,122.002,348197,4
62WD147JqRN0VR396k117e,Who Am I,Matt Lavars,4,2021-10-22,0.7,0.75,0,-9.165,1,0.31,0.847,0.105,0.0491,119.999,276131,3
2HMFDU7PZhlitcaeHSnoMq,Blue Moon,CEAUS,11,2021-04-02,0.764,0.468,10,-14.254,0,0.405,0.902,0.1,0.257,123.999,255484,3
5v4amtVl8GB1HYw07vAUV6,Heart,about : river,5,2021-11-19,0.777,0.42,8,-15.7,1,0.0691,0.896,0.0913,0.198,122.987,366942,3
36cPVy4BQDwjSEZA0od1P5,Water Cave,Josefine Hellström Hansson,0,2015-11-02,0.624,0.705,9,-12.443,1,0.0392,0.708,0.0935,0.127,124.003,402762,4
6zZ4KgflmdCnctGl4fGXAO,Sordid Affair - Maceo Plex Remix,Man Without Country,0,2014-12-29,0.741,0.718,10,-7.878,0,0.000253,0.248,0.0983,0.374,123.004,478266,4
7ljEuYYn8Ezs42sTrvVdgn,Nightfall,saysaysay,13,2021-11-19,0.61,0.737,8,-8.604,0,0.00221,0.0432,0.128,0.0528,124.003,236131,4
2ccq4RrYE3SmTIEnvjXgrJ,Akumal - Solatic Remix,Solatic,5,2022-01-01,0.628,0.704,6,-10.385,1,0.308,0.822,0.126,0.128,110.001,375600,4
0nXB7YWrra82OKeTa6PVWq,Fader,Casper Cole,8,2020-06-19,0.698,0.845,5,-9.19,0,0.000284,0.888,0.0872,0.192,123.973,373875,4
54De3Tjp79SY322CKGbosc,Hold You (Edit),Felix Raphael,23,2022-03-18,0.644,0.826,5,-9.389,0,0.0168,0.61,0.0977,0.203,123.012,226342,3
1zzLs9ymc8BUyKgbFKspJ9,Dancer In The Corner,3Kilo,5,2021-12-17,0.806,0.823,7,-9.991,0,0.0876,0.821,0.0531,0.321,122.014,414120,4
61Jm5EpWvDlp1cLLmdqcXm,Cunna - Powel Remix,Powel,6,2021-03-05,0.846,0.427,8,-13.215,1,0.0138,0.859,0.0559,0.268,120.014,412389,4
4GNVnm89gmkqO0MiKcszbZ,Summerdaze - N'Pot Remix,N'Pot,11,2022-03-18,0.849,0.554,10,-8.5,0,0.0376,0.84,0.0475,0.73,119.992,396077,4
0gW9YhNYDotXXqWIwA40kE,Confusion - Laolu Remix,Laolu,19,2022-03-18,0.736,0.702,8,-7.283,1,0.0012,0.697,0.105,0.682,119.999,404107,4
41UxuFWs5DgsqZRMFPbM6q,A Week In Rome,Zank,23,2022-12-02,0.534,0.807,2,-7.845,1,0.00108,0.834,0.0709,0.213,122.017,324772,4
5R2jWNYneOCO7Goqcl4Rvo,Deep House on the Prarie,Mariner,9,2021-11-26,0.778,0.508,2,-12.347,1,0.157,0.797,0.0782,0.744,120.991,515702,4
4LQ2nICjPIm5bVtkXtnmOP,Stories Like This,Death on the Balcony,8,2022-03-22,0.771,0.805,10,-9.614,0,0.00172,0.885,0.148,0.579,122.019,570492,4
2YFmK4Y95hxOlTKRSugyOT,Emerge,Shrii,11,2022-05-13,0.643,0.83,9,-8.497,0,0.00134,0.765,0.125,0.0589,121.014,301984,4
1F4GF3KTt2Dc9K5eJay5RV,Faith,Ceylon,15,2022-09-15,0.526,0.809,0,-10.442,1,0.00267,0.174,0.113,0.197,122.009,380082,4
6QoVPPIRdkiNCVcCUJOzbI,The Observer,Kasper Koman,48,2022-04-29,0.804,0.962,7,-8.818,1,7.48e-05,0.864,0.0467,0.576,120.998,492899,4
17IjH1P9ctjuS2Eji1MQLt,Hyper Dream,Weird Sounding Dude,25,2021-10-22,0.701,0.891,8,-6.191,0,0.00829,0.845,0.104,0.434,121.002,226217,4
01Lr5YepbgjXAWR9iOEyH1,Love Sosa,Chief Keef,78,2012-01-01,0.772,0.413,0,-8.193,0,0.0361,0.0,0.111,0.211,131.965,246213,4
6gBFPUFcJLzWGx4lenP6h2,goosebumps,Travis Scott,80,2016-09-16,0.841,0.728,7,-3.37,1,0.0847,0.0,0.149,0.43,130.049,243837,4
4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,Kanye West,80,2011-08-08,0.789,0.858,1,-5.542,1,0.127,0.0,0.349,0.775,140.022,219333,4
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,79,2017-08-25,0.732,0.75,11,-6.366,0,0.00264,0.0,0.109,0.401,155.096,182707,4
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,80,2017-04-14,0.908,0.621,1,-6.638,0,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,21 Savage,90,2022-11-04,0.561,0.52,11,-9.342,0,0.0503,1.86e-06,0.355,0.424,153.15,239360,3
1e1JKLEDKP7hEQzJfNAgPl,Magnolia,Playboi Carti,75,2017-04-14,0.791,0.582,11,-7.323,0,0.0114,0.0,0.35,0.443,162.991,181812,4
7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta),Skepta,77,2018-05-25,0.854,0.569,5,-8.151,0,0.0609,0.0816,0.1,0.294,80.015,205040,4
0FZ4Dmg8jJJAPJnvBIzD9z,ZEZE (feat. Travis Scott & Offset),Travis Scott,73,2018-12-14,0.861,0.603,8,-5.788,0,0.0521,0.0,0.0924,0.504,98.043,228760,4
0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,79,2017-06-30,0.833,0.434,2,-8.795,1,0.0102,0.0219,0.165,0.281,150.062,204600,4
1ZAyjvIk9YiD76yYy0TEG6,Plug Walk,Rich The Kid,67,2018-03-30,0.876,0.519,11,-6.531,1,0.202,0.0,0.108,0.158,94.981,175230,4
2ZRo7axmMPeSVUvDbGkJah,Hope,XXXTENTACION,82,2018-03-16,0.592,0.457,9,-6.081,0,0.661,0.000331,0.146,0.225,146.04,110886,4
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),Metro Boomin,79,2017-10-30,0.88,0.428,9,-8.28,1,0.149,5.05e-05,0.114,0.333,100.007,172800,4
1wxwtRePHymW9YiTW3kwVr,MOTEL 6,Swankie,38,2023-01-17,0.914,0.37,0,-10.421,1,0.0516,0.0,0.0988,0.259,138.104,98325,4
1f5cbQtDrykjarZVrShaDI,Drowning (feat. Kodak Black),Kodak Black,75,2017-09-29,0.839,0.81,5,-5.274,0,0.501,0.0,0.117,0.814,129.014,209269,4
5WoBXa945fS87d083cSkrs,Love Scars,Saint Bandz,44,2021-05-03,0.742,0.625,7,-7.183,0,0.224,0.0,0.107,0.328,148.265,142289,4
2UVbBKQOdFAekPTRsnkzcf,Stir Fry,Migos,73,2018-01-26,0.817,0.816,2,-5.402,1,0.00263,0.0,0.159,0.508,181.982,190288,4
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna),Gunna,81,2018-10-05,0.897,0.662,1,-6.903,0,0.0852,0.0,0.534,0.389,112.511,145543,4
68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,J. Cole,85,2014-12-09,0.69,0.521,10,-8.492,0,0.324,0.0,0.0534,0.494,100.028,292799,4
0TzxcB6dK46vgXZT2P8qeR,Trap Queen,Fetty Wap,55,2015-09-25,0.746,0.873,7,-3.803,1,0.0244,0.0,0.356,0.816,148.075,222128,4
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Roddy Ricch,75,2019-06-28,0.809,0.545,7,-6.678,1,0.392,0.0,0.151,0.244,97.008,180435,4
5PTG6rrL6EPFD9E2QMI2pl,JAPAN,Famous Dex,65,2018-04-06,0.733,0.678,6,-7.771,1,0.121,0.0,0.344,0.841,175.985,142000,4
2eOFpvSiHZS9pLaait0vSz,LOS Angeles,Los Silva,36,2020-04-24,0.705,0.808,0,-5.999,0,0.346,0.0,0.337,0.271,150.081,219013,4
0fX4oNGBWO3dSGUZcVdVV2,N95,Kendrick Lamar,78,2022-05-13,0.79,0.67,1,-5.527,1,0.377,2.32e-06,0.119,0.408,139.956,195950,4
3dpPfrdOs6gEL12XcT2X3j,TOXIC (feat. Quavo),Quavo,46,2022-09-23,0.747,0.712,11,-4.68,0,0.057,0.0,0.0885,0.969,153.966,169296,3
5qHirGR7M9tdm6C17DlzSY,REEL IT IN,Aminé,71,2018-08-15,0.754,0.342,10,-8.677,0,0.073,0.0,0.193,0.423,128.981,121347,4
7nc7mlSdWYeFom84zZ8Wr8,Tell Em,$NOT,76,2021-05-28,0.672,0.717,5,-7.476,1,0.103,0.0,0.398,0.473,157.905,180380,4
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),21 Savage,85,2022-06-17,0.529,0.673,0,-4.711,1,0.000307,2.41e-06,0.093,0.366,165.921,218365,4
75lcPkAkUsKWHGBlGM476R,1400 / 999 Freestyle,Juice WRLD,73,2018-11-09,0.825,0.572,6,-6.067,0,0.0079,0.0,0.113,0.568,141.991,175954,4
1rDQ4oMwGJI7B4tovsBOxc,First Class,Jack Harlow,43,2022-04-08,0.905,0.563,8,-6.135,1,0.0254,9.71e-06,0.113,0.324,106.998,173948,4
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,78,2018-08-03,0.834,0.73,8,-3.714,1,0.00513,0.0,0.124,0.446,155.008,312820,4
2P0Si3pfikrrkpLLnrXaLR,family ties (with Kendrick Lamar),Kendrick Lamar,52,2021-09-22,0.711,0.611,1,-5.451,1,0.00582,0.0,0.23,0.143,134.111,252262,4
4wFjTWCunQFKtukqrNijEt,MotorSport,Cardi B,68,2018-01-26,0.904,0.518,2,-5.32,1,0.0305,0.0,0.325,0.188,137.996,303077,4
5FkoSXiJPKTNyYgALRJFhD,ORANGE SODA,Baby Keem,77,2019-07-19,0.83,0.564,1,-7.822,1,0.177,0.0,0.128,0.107,85.042,129882,4
4jTiyLlOJVJj3mCr7yfPQD,This Could Be Us,Rae Sremmurd,75,2015-01-06,0.732,0.69,0,-4.992,0,0.291,0.0,0.116,0.758,143.072,206307,4
4KW1lqgSr8TKrvBII0Brf8,Father Stretch My Hands Pt. 1,Kanye West,78,2016-06-10,0.724,0.573,7,-4.113,1,0.118,0.0,0.538,0.438,113.088,135920,4
7rvyVWja33WG9R97oeJAjx,Envy Me,Calboy,66,2019-05-31,0.74,0.488,1,-7.664,0,0.234,0.0,0.241,0.584,149.042,120133,4
29TPjc8wxfz4XMn21O7VsZ,Sky,Playboi Carti,79,2020-12-25,0.785,0.903,2,-4.184,1,0.258,0.0,0.169,0.565,139.98,193234,4
2G1tXoGBaEMJ7FKGnkf6ud,Wake Up in the Sky,Kodak Black,67,2018-12-07,0.8,0.578,4,-5.144,0,0.00381,0.0,0.367,0.367,143.01,203161,4
1fewSx2d5KIZ04wsooEBOz,Space Cadet (feat. Gunna),Gunna,77,2018-11-06,0.901,0.464,5,-9.789,0,0.368,1.71e-05,0.238,0.638,109.004,203267,4
7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,King Von,75,2020-03-06,0.82,0.592,1,-7.002,1,0.0149,4.71e-06,0.121,0.4,159.98,196180,4
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,Pop Smoke,76,2020-07-03,0.709,0.548,10,-8.493,1,0.65,1.59e-06,0.133,0.543,83.995,160000,4
3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),Young Thug,74,2022-01-13,0.773,0.422,1,-4.572,0,0.00783,0.00693,0.129,0.488,77.502,136267,1
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),Travis Scott,78,2021-09-03,0.666,0.465,1,-8.545,1,0.0503,0.0,0.215,0.292,167.937,291175,4
39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,Kid Cudi,72,2020-04-24,0.716,0.537,0,-7.648,0,0.233,0.0,0.157,0.28,129.979,165978,4
6iaSML1PIYq936g62BDtBq,Robbery,Juice WRLD,78,2019-03-08,0.623,0.692,2,-5.122,1,0.328,0.0,0.153,0.566,79.899,240051,4
19gEmPjfqSZT0ulDRfjl0m,Hot N*gga,Bobby Shmurda,69,2014-07-25,0.794,0.51,9,-7.314,1,0.0505,1.81e-06,0.0562,0.18,167.879,194561,4
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Drake,75,2018-11-30,0.889,0.496,4,-6.365,0,0.259,0.0,0.252,0.544,86.003,180522,4
4mHgYpuGHu99Mw69E83CP2,Taking A Walk,Trippie Redd,73,2018-08-10,0.767,0.538,0,-6.044,0,0.68,0.0,0.192,0.343,81.031,121680,4
2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),Project Pat,79,2021-09-03,0.849,0.424,5,-9.579,0,0.0635,0.0,0.0834,0.153,145.887,242966,4
